age,unvaccinated,partially_vaccinated,fully_vaccinated
0-12,0.0,0.0,0.0
13-19,0.0,0.0,0.0
20-29,0.0,0.0,0.0
30-39,0.11,0,0
40-49,0.17,0,0
50-59,0.59,0.4,0
60-69,4.3,0,0.09
70-79,7.1,4.3,0.49
80+,18.8,12.6,2.1
