age,unvaccinated,partially_vaccinated,fully_vaccinated
0-12,0.0,0.0,0.0
13-19,0.0,0.0,0.0
20-29,0.15,0.0,0.0
30-39,0.67,0.0,0.0
40-49,1.2,0.99,0.02
50-59,2.4,2.0,0.0
60-69,8.2,3.1,0.26
70-79,11.8,5.8,1.2
80+,21.7,13.7,3.0
